"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"12055","Highlands County, FL",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"12057","Hillsborough County, FL","3.6","2.1","38","7","0.11","0.083","126","31","3","27","10.5","86","33","."
"12059","Holmes County, FL",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"12069","Lake County, FL",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"12071","Lee County, FL",".",".",".",".","0.08","0.069",".",".",".","34","8.5","47","20","."
"12073","Leon County, FL",".",".",".",".","0.09","0.075",".",".",".","38","12.2",".",".","."
"12081","Manatee County, FL",".",".","32","4","0.09","0.075","24","6","1","21","8.5","87","28","."
"12083","Marion County, FL",".",".",".",".","0.09","0.074",".",".",".","29","10",".",".","."
"12086","Miami-Dade County, FL","3.7","2","42","11","0.09","0.071","3","1","0","22","9.4","53","24","."
"12089","Nassau County, FL",".",".",".",".",".",".","82","28","4",".",".",".",".","."
"12095","Orange County, FL","4.1","1.7","43","7","0.1","0.078","10","3","0","25","9","38","19","."
"12097","Osceola County, FL",".",".",".",".","0.09","0.073",".",".",".",".",".",".",".","."
"12099","Palm Beach County, FL","2.1","1.3","42","8","0.09","0.068","3","2","0","21","7.3","36","16","."
"12101","Pasco County, FL",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"12103","Pinellas County, FL","5.9","2.4","42","9","0.09","0.072","94","27","3","26","9.7","51","23","."
"12105","Polk County, FL",".",".",".",".","0.09","0.077",".",".",".","55","10.2","65","18","."
"12107","Putnam County, FL",".",".",".",".",".",".","34","7","1",".",".",".",".","."
"12111","St. Lucie County, FL",".",".",".",".","0.08","0.063",".",".",".","22","7.7",".",".","."
"12113","Santa Rosa County, FL",".",".",".",".","0.1","0.08",".",".",".",".",".",".",".","."
"12115","Sarasota County, FL","2.9","2.3",".",".","0.09","0.073",".",".",".","28","8.1","81","22","."
"12117","Seminole County, FL",".",".",".",".","0.1","0.069",".",".",".","28","9.5","45","16","."
"12127","Volusia County, FL",".",".",".",".","0.08","0.065",".",".",".","35","9.8","42","17","."
"12129","Wakulla County, FL",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"13021","Bibb County, GA",".",".",".",".","0.1","0.084","31","10","2","42","18.7","111","36","."
"13051","Chatham County, GA",".",".",".",".","0.08","0.065","77","24","3","35","12.6","40","24","."
"13055","Chattooga County, GA",".",".",".",".","0.09","0.08",".",".",".",".",".","46","25","."
"13059","Clarke County, GA",".",".",".",".","0.1","0.083",".",".",".","31","13.5",".",".","."
"13063","Clayton County, GA",".",".",".",".",".",".",".",".",".","37","15.6",".",".","."
"13067","Cobb County, GA",".",".",".",".","0.11","0.089",".",".",".","36","15.9",".",".","."
"13073","Columbia County, GA",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"13077","Coweta County, GA",".",".",".",".","0.11","0.091",".",".",".",".",".",".",".","."
"13085","Dawson County, GA",".",".",".",".","0.1","0.078",".",".",".",".",".",".",".","."
"13089","DeKalb County, GA","2","1.7",".","15","0.12","0.096",".",".",".","34","16.8","58","28","."
"13095","Dougherty County, GA",".",".",".",".",".",".",".",".",".","43","15","187","34","."
"13097","Douglas County, GA",".",".",".",".","0.1","0.086",".",".",".",".",".","43","22","."
"13113","Fayette County, GA",".",".",".",".","0.12","0.092",".",".",".",".",".",".",".","."
"13115","Floyd County, GA",".",".",".",".",".",".","137","26","4","37","16","57","31","."
"13121","Fulton County, GA","2.1","1.4","75","17","0.12","0.098","65","18","3","39","16.8","88","29","."
"13127","Glynn County, GA",".",".",".",".","0.07","0.062","16","5","1",".",".",".",".","."
"13135","Gwinnett County, GA",".",".",".",".","0.11","0.091",".",".",".","30","14.2",".",".","."
"13139","Hall County, GA",".",".",".",".",".",".",".",".",".","29","13.8",".",".","."
"13151","Henry County, GA",".",".",".",".","0.12","0.102",".",".",".",".",".",".",".","."
"13213","Murray County, GA",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"13215","Muscogee County, GA",".",".",".",".","0.1","0.083",".",".",".","38","15.2","53","28","."
"13223","Paulding County, GA","1.5","1.2","25","3","0.1","0.084",".",".",".","35","14.7",".",".","."
"13245","Richmond County, GA",".",".",".",".","0.1","0.08",".",".",".","34","15.7","54","29","."
"13247","Rockdale County, GA",".",".","27","5","0.13","0.098",".",".",".",".",".",".",".","."
"13255","Spalding County, GA",".",".",".",".",".",".",".",".",".",".",".","42","22","."
"13261","Sumter County, GA",".",".",".",".","0.09","0.076",".",".",".",".",".",".",".","."
"13303","Washington County, GA",".",".",".",".",".",".",".",".",".","28","14.6","57","28","."
"15001","Hawaii County, HI",".",".",".",".",".",".","1118","221","18",".",".",".",".","."
"15003","Honolulu County, HI","1.6","1","26","5","0.04","0.033","25","8","2","10","4.9","57","17","."
"15009","Maui County, HI",".",".",".",".",".",".",".",".",".","10","5","93","26","."
"16001","Ada County, ID","3.5","1.6",".",".","0.1","0.076",".",".",".",".",".","79","24","."
"16005","Bannock County, ID",".",".",".",".",".",".","65","24","6",".",".","48","22","."
"16009","Benewah County, ID",".",".",".",".",".",".",".",".",".","29","9.9",".",".","."
"16023","Butte County, ID",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"16029","Caribou County, ID",".",".",".",".",".",".","38","5","1",".",".",".",".","."
"16049","Idaho County, ID",".",".",".",".",".",".",".",".",".","36","9.4",".",".","."
"16055","Kootenai County, ID",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"16077","Power County, ID",".",".",".",".",".",".",".",".",".",".",".","76","21","."
"16079","Shoshone County, ID",".",".",".",".",".",".",".",".",".","32","11.8","48","17","."
"17001","Adams County, IL",".",".",".",".","0.08","0.075",".",".",".",".",".",".",".","."
"17019","Champaign County, IL",".",".",".",".","0.08","0.071",".",".",".","34","13.2",".",".","."
"17023","Clark County, IL",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"17031","Cook County, IL","2.6","1.8","119","33","0.11","0.085","119","25","5","39","15.7","97","33","."
"17043","DuPage County, IL",".",".",".",".","0.09","0.072",".",".",".","38","13.8",".",".","."
"17049","Effingham County, IL",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"17065","Hamilton County, IL",".",".",".",".","0.09","0.076",".",".",".","33","13.4",".",".","."
"17077","Jackson County, IL",".",".",".",".",".",".",".",".",".",".",".","41","22","."
"17083","Jersey County, IL",".",".",".",".","0.09","0.075",".",".",".","31","13.3",".",".","."
"17089","Kane County, IL",".",".",".",".","0.09","0.075",".",".",".","36","14.5",".",".","."
"17097","Lake County, IL",".",".",".",".","0.1","0.081",".",".",".","33","11.9",".",".","."
"17099","La Salle County, IL",".",".",".",".",".",".","356","82","6","31","11.7","101","27","."
"17111","McHenry County, IL",".",".",".",".","0.08","0.074",".",".",".","29","11.6",".",".","."
"17113","McLean County, IL",".",".",".",".","0.09","0.075",".",".",".","33","12.3",".",".","."
"17115","Macon County, IL",".",".",".",".","0.08","0.077","51","21","2","36","14",".",".","."
"17117","Macoupin County, IL",".",".",".",".","0.1","0.075","20","6","1",".",".","53","24","."
"17119","Madison County, IL",".",".",".",".","0.11","0.087","149","48","4","36","15.1","115","40","."
"17143","Peoria County, IL","3","2",".",".","0.09","0.081","58","20","2","35","13",".",".","."
"17157","Randolph County, IL",".",".",".",".","0.09","0.079","31","7","1","32","14.2",".",".","."
"17161","Rock Island County, IL",".",".",".",".","0.08","0.071",".",".",".","27","12.5",".",".","."
"17163","Saint Clair County, IL","2","1.6","52","16","0.11","0.077","33","10","2","33","15.6","58","33","."
"17167","Sangamon County, IL","2.9","1.4",".",".","0.09","0.072","139","47","3","34","13",".",".","."
"17179","Tazewell County, IL",".",".",".",".",".",".","220","133","4",".",".",".",".","."
"17185","Wabash County, IL",".",".",".",".",".",".","109","23","5",".",".",".",".","."
"17197","Will County, IL",".",".",".",".","0.08","0.071","63","17","4","39","14.6","55","24","."
"17201","Winnebago County, IL","2.3","1.4",".",".","0.08","0.073",".",".",".","30","12.5",".",".","."
"18003","Allen County, IN","3","1.7",".",".","0.09","0.08",".",".",".","34","13.2",".",".","."
"18011","Boone County, IN",".",".",".",".","0.1","0.083",".",".",".",".",".",".",".","."
"18015","Carroll County, IN",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"18019","Clark County, IN",".",".",".",".","0.11","0.09",".",".",".","38","16.5","51","27","."
"18027","Daviess County, IN",".",".",".",".",".",".","112","25","5",".",".",".",".","."
"18029","Dearborn County, IN",".",".",".",".",".",".","61","18","3",".",".",".",".","."
"18035","Delaware County, IN",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"18037","Dubois County, IN",".",".",".",".",".",".",".",".",".","36","14.9","48","25","."
"18039","Elkhart County, IN",".",".",".",".","0.09","0.082",".",".",".",".",".",".",".","."
"18043","Floyd County, IN",".",".",".",".","0.11","0.082","194","36","6","35","15.3",".",".","."
"18045","Fountain County, IN",".",".",".",".",".",".","200","80","6",".",".",".",".","."
"18051","Gibson County, IN",".",".",".",".",".",".","136","42","6",".",".",".",".","."
"18055","Greene County, IN",".",".",".",".","0.1","0.084",".",".",".",".",".",".",".","."
"18057","Hamilton County, IN",".",".",".",".","0.1","0.084",".",".",".",".",".",".",".","."
"18059","Hancock County, IN",".",".",".",".","0.1","0.081",".",".",".",".",".",".",".","."
"18063","Hendricks County, IN","1.3","1.2","43","8","0.09","0.079","46","13","3",".",".","48","21","."
"18065","Henry County, IN",".",".",".",".",".",".",".",".",".","32","13.1",".",".","."
"18067","Howard County, IN",".",".",".",".",".",".",".",".",".","34","13.5",".",".","."
"18069","Huntington County, IN",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"18071","Jackson County, IN",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"18073","Jasper County, IN",".",".",".",".",".",".","49","12","2",".",".",".",".","."
"18081","Johnson County, IN",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
