County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
21043,"Carter County, KY",.,.,.,.,0.11,0.093,.,.,.,.,.,.,.,.
21047,"Christian County, KY",.,.,.,.,0.12,0.092,.,.,.,.,.,.,.,.
21059,"Daviess County, KY",2.1,0.8,42,11,0.1,0.09,98,24,6,.,.,63,25,.
21061,"Edmonson County, KY",.,.,.,.,0.12,0.098,.,.,.,.,.,.,.,.
21067,"Fayette County, KY",3.3,1.7,54,13,0.11,0.091,45,20,8,.,.,54,24,.
21071,"Floyd County, KY",.,.,.,.,.,.,.,.,.,.,.,52,24,.
21083,"Graves County, KY",.,.,.,.,0.12,0.098,.,.,.,.,.,.,.,.
21089,"Greenup County, KY",.,.,.,.,0.12,0.095,78,26,6,.,.,.,.,.
21091,"Hancock County, KY",.,.,.,.,0.11,0.093,73,31,6,.,.,.,.,.
21093,"Hardin County, KY",.,.,.,.,0.11,0.088,.,.,.,.,.,.,.,.
21101,"Henderson County, KY",2.9,1.8,72,16,0.11,0.096,183,56,7,.,.,59,24,.
21111,"Jefferson County, KY",9.1,4.8,.,14,0.12,0.1,108,23,7,40,17.5,60,29,.
21113,"Jessamine County, KY",.,.,.,.,0.1,0.082,.,.,.,.,.,.,.,.
21117,"Kenton County, KY",4.9,3,68,17,0.11,0.091,.,.,.,.,.,52,20,.
21139,"Livingston County, KY",.,.,.,.,0.12,0.101,50,24,5,.,.,.,.,.
21145,"McCracken County, KY",4.1,1.8,61,11,0.11,0.093,53,18,4,.,.,38,15,.
21149,"McLean County, KY",.,.,.,.,0.12,0.103,.,.,.,.,.,.,.,.
